brand,action,id,model,page,summary
KSB,MODIFIED,ksb_agri_bpha_384_07g_hbcn_big_mixed_flow_p49,BPHA 384 07G + HBCN (BIG) (Mixed flow),49,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_2d_hbc_small_mixed_flow_p48,BPHA 384 2D + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_2d_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 2D + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_2g_hbc_small_mixed_flow_p48,BPHA 384 2G + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_3d_hbc_small_mixed_flow_p48,BPHA 384 3D + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_3g_hbc_small_mixed_flow_p48,BPHA 384 3G + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_3g_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 3G + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_3h_hbc_small_mixed_flow_p48,BPHA 384 3H + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_3h_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 3H + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_4d_hbc_small_mixed_flow_p48,BPHA 384 4D + HBC (SMALL) (Mixed flow),48,"Updated curve, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_4j_hbc_small_mixed_flow_p48,BPHA 384 4J + HBC (SMALL) (Mixed flow),48,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_5j_hbc_small_mixed_flow_p48,BPHA 384 5J + HBC (SMALL) (Mixed flow),48,"Updated curve, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_15_fc_80_65_56_p62,MR 15 FC- 80-65-56,62,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_15_fc_90_80_39_p61,MR 15 FC- 90-80-39,61,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_25_c_125_100_38_p63,MR 25 C- 125-100-38,63,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_30_c_100_75_60_p61,MR 30 C- 100-75-60,61,"Updated curve, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_30_c_125_100_45_p61,MR 30 C- 125-100-45,61,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mr_7_5_a_7_5_c_65_50_39_p60,MR 7.5 A / 7.5 C- 65-50-39,60,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mrv_t_plus_02_5_0_hp_dol_p65,MRV(T) PLUS - 02/5.0 HP DOL,65,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mrv_t_plus_02_7_5_hp_sd_p65,MRV(T) PLUS - 02/7.5 HP SD,65,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mrv_t_plus_n_02_5_0_hp_dol_p65,MRV(T) PLUS N- 02/5.0 HP DOL,65,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_mrv_t_plus_n_02_7_5_hp_dol_p65,MRV(T) PLUS N- 02/7.5 HP DOL,65,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_ultra_516_4040_i_p53,ULTRA+ 516 4040 I,53,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_upfn_125_6st_umai_h_150_radial_flow_p29,UPFN 125 6ST + UMAI / H 150 (Radial Flow),29,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_upfn_125_6st_umai_h_150_radial_flow_p29_2,UPFN 125 6ST + UMAI / H 150 (Radial Flow),29,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_upfn_200_2st_umai_h_150_radial_flow_p31,UPFN 200 2ST + UMAI / H 150 (Radial Flow),31,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_upha_293_5a_hbc_small_radial_flow_p42_2,UPHA 293 5A + HBC (SMALL) (Radial flow),42,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_uqd_182_3st_umai_150_radial_flow_p24,UQD 182 3ST + UMAI 150 (Radial Flow),24,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_uqd_182_4st_umai_150_radial_flow_p24,UQD 182 4ST + UMAI 150 (Radial Flow),24,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_uqd_182_6st_umai_150_radial_flow_p24,UQD 182 6ST + UMAI 150 (Radial Flow),24,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_uqd_182_9st_umai_150_radial_flow_p24,UQD 182 9ST + UMAI 150 (Radial Flow),24,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_vo_100_7_p67,VO 100 / 7,67,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_vo_150_4_p67,VO 150 / 4,67,"Updated dataStatus, dataNote"
